กำลังอ่านข้อมูลจาก MSSQL...
พบข้อมูลทั้งหมด: 47536 รายการ
กำลังนำเข้าข้อมูล...

[193/47536] DB1:I:192 U:0 | DB2:I:192 U:0 
[194/47536] DB1:I:193 U:0 | DB2:I:193 U:0 
[195/47536] DB1:I:194 U:0 | DB2:I:194 U:0 
[196/47536] DB1:I:195 U:0 | DB2:I:195 U:0 
[197/47536] DB1:I:196 U:0 | DB2:I:196 U:0 
[198/47536] DB1:I:197 U:0 | DB2:I:197 U:0 
[199/47536] DB1:I:198 U:0 | DB2:I:198 U:0 
[200/47536] DB1:I:199 U:0 | DB2:I:199 U:0 
[201/47536] DB1:I:200 U:0 | DB2:I:200 U:0 
[202/47536] DB1:I:201 U:0 | DB2:I:201 U:0 
[203/47536] DB1:I:202 U:0 | DB2:I:202 U:0 
[204/47536] DB1:I:203 U:0 | DB2:I:203 U:0 
[205/47536] DB1:I:204 U:0 | DB2:I:204 U:0 
[206/47536] DB1:I:205 U:0 | DB2:I:205 U:0 
[207/47536] DB1:I:206 U:0 | DB2:I:206 U:0 
[208/47536] DB1:I:207 U:0 | DB2:I:207 U:0 
[209/47536] DB1:I:208 U:0 | DB2:I:208 U:0 
[210/47536] DB1:I:209 U:0 | DB2:I:209 U:0 
[211/47536] DB1:I:210 U:0 | DB2:I:210 U:0 
[212/47536] DB1:I:211 U:0 | DB2:I:211 U:0 
[213/47536] DB1:I:212 U:0 | DB2:I:212 U:0 
[214/47536] DB1:I:213 U:0 | DB2:I:213 U:0 
[215/47536] DB1:I:214 U:0 | DB2:I:214 U:0 
[216/47536] DB1:I:215 U:0 | DB2:I:215 U:0 
[217/47536] DB1:I:216 U:0 | DB2:I:216 U:0 
[218/47536] DB1:I:217 U:0 | DB2:I:217 U:0 
[219/47536] DB1:I:218 U:0 | DB2:I:218 U:0 
[220/47536] DB1:I:219 U:0 | DB2:I:219 U:0 
[221/47536] DB1:I:220 U:0 | DB2:I:220 U:0 
[222/47536] DB1:I:221 U:0 | DB2:I:221 U:0 
[223/47536] DB1:I:222 U:0 | DB2:I:222 U:0 
[224/47536] DB1:I:223 U:0 | DB2:I:223 U:0 
[225/47536] DB1:I:224 U:0 | DB2:I:224 U:0 
[226/47536] DB1:I:225 U:0 | DB2:I:225 U:0 
[227/47536] DB1:I:226 U:0 | DB2:I:226 U:0 
[228/47536] DB1:I:227 U:0 | DB2:I:227 U:0 
[229/47536] DB1:I:228 U:0 | DB2:I:228 U:0 
[230/47536] DB1:I:229 U:0 | DB2:I:229 U:0 
[231/47536] DB1:I:230 U:0 | DB2:I:230 U:0 
[232/47536] DB1:I:231 U:0 | DB2:I:231 U:0 
[233/47536] DB1:I:232 U:0 | DB2:I:232 U:0 
[234/47536] DB1:I:233 U:0 | DB2:I:233 U:0 
[235/47536] DB1:I:234 U:0 | DB2:I:234 U:0 
[236/47536] DB1:I:235 U:0 | DB2:I:235 U:0 
[237/47536] DB1:I:236 U:0 | DB2:I:236 U:0 
[238/47536] DB1:I:237 U:0 | DB2:I:237 U:0 
[239/47536] DB1:I:238 U:0 | DB2:I:238 U:0 
[240/47536] DB1:I:239 U:0 | DB2:I:239 U:0 
[241/47536] DB1:I:240 U:0 | DB2:I:240 U:0 
